Id,Date,Time,Country,League,HomeTeam,AwayTeam,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No
8hYWhZNF,25/04/2025,07:30,ITALY,ITALY 2,Frosinone,Spezia,3.6,3.3,2.05,2.1,1.7,1.95,1.8
06glrI9c,25/04/2025,10:00,ITALY,ITALY 2,Bari,Modena,2.4,3.1,3.1,2.25,1.62,1.91,1.91
dYnctdvA,25/04/2025,10:00,ITALY,ITALY 2,Brescia,Pisa,3.8,3.3,2.0,2.1,1.7,1.95,1.8
Uoo5vz9M,25/04/2025,10:00,ITALY,ITALY 2,Carrarese,Sampdoria,3.0,2.9,2.6,2.25,1.62,1.91,1.91
2iRuiDhS,25/04/2025,10:00,ITALY,ITALY 2,Reggiana,Cittadella,1.95,3.25,4.0,2.4,1.53,2.05,1.7
bNCBoiGk,25/04/2025,10:00,ITALY,ITALY 2,Salernitana,Cosenza,1.75,3.5,5.0,2.08,1.73,2.0,1.75
0SUOfeg3,25/04/2025,13:00,ITALY,ITALY 2,Cremonese,Mantova,1.53,4.33,5.5,1.6,2.3,1.7,2.05
KWixXi1d,25/04/2025,15:30,ITALY,ITALY 2,Cesena,Sassuolo,3.2,3.25,2.25,2.15,1.67,1.8,1.95
pIZYRyJG,25/04/2025,12:45,ROMANIA,ROMANIA 1,Unirea Slobozia,Poli Iasi,2.2,3.2,3.1,2.25,1.62,1.91,1.8
0UaV7GRp,25/04/2025,15:00,ROMANIA,ROMANIA 1,Sepsi Sf. Gheorghe,Otelul,2.2,2.88,3.5,2.4,1.53,2.1,1.67
2XUUuEFG,25/04/2025,15:30,SPAIN,SPAIN 2,Cadiz CF,Gijon,2.15,3.25,3.5,2.4,1.53,2.1,1.67
