Id,Date,Time,Country,League,HomeTeam,AwayTeam,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Time_Str
zNzNQS8N,02/05/2025,15:45,ITALY,ITALY 1,Torino,Venezia,2.25,3.0,3.6,2.38,1.57,1.95,1.8,02/05/2025 15:45
OGjKLvON,02/05/2025,15:30,ARGENTINA,ARGENTINA 1,Argentinos Jrs,Estudiantes L.P.,2.05,3.3,3.7,2.4,1.53,2.1,1.67,02/05/2025 15:30
8vsx91vI,02/05/2025,15:30,ARGENTINA,ARGENTINA 1,Banfield,Central Cordoba,2.3,3.2,3.25,2.5,1.5,2.1,1.67,02/05/2025 15:30
UgVp7u9U,02/05/2025,15:30,ARGENTINA,ARGENTINA 1,Ind. Rivadavia,Defensa y Justicia,2.4,2.9,3.2,2.5,1.5,2.05,1.7,02/05/2025 15:30
b95fRrfn,02/05/2025,15:30,ARGENTINA,ARGENTINA 1,Racing Club,Newells Old Boys,2.15,3.4,3.5,2.2,1.65,1.95,1.8,02/05/2025 15:30
SlcBN0gB,02/05/2025,18:00,ARGENTINA,ARGENTINA 1,Union de Santa Fe,Belgrano,2.35,3.3,3.1,2.5,1.5,2.1,1.67,02/05/2025 18:00
ATzemqnf,02/05/2025,21:30,BRAZIL,BRAZIL 1,Sao Paulo,Fortaleza,1.8,3.5,4.75,2.35,1.57,2.2,1.62,02/05/2025 21:30
ltsixMVN,02/05/2025,21:35,BRAZIL,BRAZIL 2,Ferroviaria,Coritiba,2.5,2.75,3.1,2.88,1.4,2.38,1.53,02/05/2025 21:35
z7C777X1,02/05/2025,11:30,ROMANIA,ROMANIA 1,Poli Iasi,Sepsi Sf. Gheorghe,2.75,3.0,2.38,2.03,1.83,1.73,2.0,02/05/2025 11:30
I16dLtZP,02/05/2025,15:30,SPAIN,SPAIN 2,Cordoba,Cadiz CF,2.0,3.3,3.8,2.0,1.85,1.8,1.91,02/05/2025 15:30
